role,category,path
ewaste_pool,e-waste,raw/ewaste/e-waste 1222.jpg
ewaste_pool,e-waste,raw/ewaste/e-waste 2825.jpg
ewaste_pool,e-waste,raw/ewaste/e-waste 2843.jpg
ewaste_pool,e-waste,raw/ewaste/e-waste 2966.jpg
ewaste_pool,e-waste,raw/ewaste/e-waste 3006.jpg
ewaste_pool,e-waste,raw/ewaste/e-waste 783.jpg
ewaste_pool,e-waste,raw/ewaste/e-waste 913.jpg
ewaste_pool,electrical cables,raw/ewaste/electrical_cables 108.jpg
ewaste_pool,electrical cables,raw/ewaste/electrical_cables 18.jpg
ewaste_pool,electrical cables,raw/ewaste/electrical_cables 232.jpg
ewaste_pool,electrical cables,raw/ewaste/electrical_cables 391.jpg
ewaste_pool,electrical cables,raw/ewaste/electrical_cables 392.jpg
ewaste_pool,electrical cables,raw/ewaste/electrical_cables 634.jpg
ewaste_pool,electrical cables,raw/ewaste/electrical_cables 643.jpg
ewaste_pool,electrical cables,raw/ewaste/electrical_cables 683.jpg
ewaste_pool,electrical cables,raw/ewaste/electrical_cables 76.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 110.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 133.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 135.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 18.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 196.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 24.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 259.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 261.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 270.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 30.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 33.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 353.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 355.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 361.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 376.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 380.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 406.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 426.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 486.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 487.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 488.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 489.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 509.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 56.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 580.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 594.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 597.jpg
ewaste_pool,electronic chip,raw/ewaste/electronic_chip 612.jpg
ewaste_pool,images (1),raw/ewaste/images (1).jpg
ewaste_pool,images (2),raw/ewaste/images (2).jpg
ewaste_pool,images (3),raw/ewaste/images (3).jpg
ewaste_pool,images (4),raw/ewaste/images (4).jpg
ewaste_pool,images (5),raw/ewaste/images (5).jpg
ewaste_pool,images,raw/ewaste/images.jpg
ewaste_pool,istockphoto-2246139796-612x612,raw/ewaste/istockphoto-2246139796-612x612.jpg
ewaste_pool,laptops,raw/ewaste/laptops 198.jpg
ewaste_pool,Miscellaneous Trash,raw/ewaste/Miscellaneous Trash_315.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 110.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 129.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 141.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 179.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 218.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 221.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 231.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 239.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 243.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 248.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 26.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 261.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 262.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 27.jpg
ewaste_pool,smartphones,raw/ewaste/smartphones 8.jpg
