role,category,path
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_266.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_203.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_183.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_330.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_391.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_227.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_123.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_62.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_67.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_42.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_364.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_185.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_410.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_184.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_380.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_9.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_374.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_373.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_112.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_175.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_99.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_211.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_150.jpg
organic_bg,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_239.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_404.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_79.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_223.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_20.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_139.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_396.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_429.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_315.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_195.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_219.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_149.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_289.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_259.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_206.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_403.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_313.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_88.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_203.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_96.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_291.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_344.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_200.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_78.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_405.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_329.jpg
organic_bg,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_425.jpg
