role,category,path
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_52.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_333.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_235.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_118.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_179.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_128.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_305.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_375.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_244.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_88.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_342.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_130.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_92.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_298.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_255.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_125.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_325.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_332.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_359.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_234.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_262.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_131.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_328.jpg
organic_clutter,Food Organics,assets/trash/realwaste-main/RealWaste/Food Organics/Food Organics_28.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_277.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_199.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_372.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_166.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_127.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_367.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_204.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_172.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_260.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_391.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_338.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_98.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_295.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_285.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_418.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_408.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_335.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_197.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_170.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_334.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_160.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_218.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_257.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_144.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_192.jpg
organic_clutter,Vegetation,assets/trash/realwaste-main/RealWaste/Vegetation/Vegetation_220.jpg
